prompt,model_answer,is_hallucination,correct_answer,comment
"Контракт рассчитан на два года. В межсезонье «Барселона» совершила громкий трансфер: клуб пополнил нападающий сборной Бразилии и футбольного клуба «Сантос» Неймар. В то же время «Барселону» покинули Давид Вилья, перешедший в «Атлетико Мадрид», Тьяго Алкантара, уехавший в «Баварию» и Эрик Абидаль, подписавший контракт с «Монако».","Договор рассчитан на два года. В межсезонье ""Барселона"" совершила громкий трансфер: клуб пополнил нападающий сборной Бразилии и футбольного клуба ""Сантос"" Неймар. В то же время Барселону покинули Давид Вилья, перешедший в Мадридский атлетико, Тьяго Алкантара, уехавший в Баварию и Эрик Абидаль, подписавший контракт с Монако.",0,,
"Правительство одобрило создание СП ""Ростелекома"" и Tele2.",Правительство одобрило создание СП «Ростелекома» и «Tele2-Россия».,0,,
"В краткосрочной перспективе от ценовых войн выигрывают потребители, которые приобретают привычный товар или услугу по более низкой цене. Часто ценовые войны вредят компаниям-участникам, так как вызывают снижение маржинальной прибыли, что может поставить вопрос об уходе компании с рынка.","В краткосрочном плане война цен приносит пользу потребителям, которые покупают свои обычные товары или услуги по более низким ценам. Войны цен часто наносят ущерб участвующим компаниям из-за более низкой прибыли, которая может вызвать проблему ухода компании с рынка.",0,,
"Четверг.    
Проводил на автобус в Ленинград свою жестокую. Поехала к Славе в Чудово на неопределённое время. Не спрашивал, не интересовался этим. Стал равнодушен, и только тоска, как осадок от всех наветов, от всей напраслины, возводимых на мою голову. От Славы письмо, где вспоминает былое детство с весенними ручьями. Он частенько возвращается к своему детству, как и я люблю вспоминать его, лучшую пору своей жизни.","Четверг. Проводил на автобусе в Ленинград свою жестокую. Я ехал в Славу в Чудово на неопределенное время. Я не спрашивал, не интересовался этим. Я огорчен, и я стою в пустыне, как осадок от всех, от всех идолов, восставших на мою голову. От славы письмо, где вспоминает свое детство с весенними ручьями. Он возвращается к своему детству, как и я люблю помнить его, лучшее время своей жизни.",0,,
"Спасибо за вдохновение 
 Решилась поделиться своей историей.

Осень 2018 года.
Я встретила его во время Игр кочевников. Он был акыном и прекрасно пел. Учил меня кыргызскому языку и рассказывал о тенгрианстве, помогал найти свой тотем.","Спасибо за вдохновение. Решила поделиться своей историей. Осень 2018 года. Я встретила его во время игр кочевников. Он был умным и прекрасным певцом. Учил меня кыргызскому языку и рассказал о тенгрианстве, помог найти свой тотем.",0,,
"Отсутствие публичной реакции российских властей на смерть Елены Боннэр лишь подчеркивает одну из главных их проблем: у них нет идей, ценностей, внятного голоса.","Отсутствие публичной реакции российских властей на смерть Елены Боннер лишь указывает на одну из их главных проблем: у них нет идей, ценностей, ясного голоса.",0,,
В Петербурге во время занятий по самообороне погибла студентка.,В Петербурге во время занятий по самообороне погибла студентка.,0,,
"Сульфаты рубидия и цезия
Rb2SO4 и Cs2SO4 образуют ромбические кристаллы, изоморфные K2SO4 (при более высокой температуре, а именно выше 657º Rb2SO4 образует ещё другую модификацию). Удельный вес их при 20º 3,61 и 4,24 соответственно; точка плавления 1074 и 1019º соответственно. Оба соединения отличаются лёгкостью, с которой они образуют с сульфатом алюминия, сульфатом железа (III) и с сульфатами двухвалентных металлов очень хорошо кристаллизующиеся двойные соли (или смешанные соли). Образование цезиевых квасцов CsAl(SO4)2・12H2O применяется для обнаружения алюминия.


Сульфат лития
Li2SO4 кристаллизуется из горячих растворов без воды в форме, по-видимому, ромбических игл. При обычной температуре кристаллизуется в виде гидрата Li2SO4・H2O в тонких моноклинных табличках. (О системе Li2SO4—H20 см.: Campbell A. N., J. Am. Chem. Soc., 65, 2268, 1943.) Безводная соль плавится при 859º, удельный вес её 2,21.","Рубидий и цезий в сульфатах
Из Rb2SO4 и Cs2SO4 получаются ромбические кристаллы, подобные K2SO4 (а в случае температуры, превышающей 657º, Rb2SO4 даст модификацию другого вида). У Rb2SO4 удельный вес при 20º 4.7, температура плавления 1074º; у Cs2SO4 удельный вес 4,24 и точка плавления 1019º. С сульфатами алюминия, железа (III) и двухвалентных металлов оба соединения легко составляют двойные или смешанные соли, отличающиеся хорошим показателем кристаллизации. Чтобы найти алюминий, часто применяют образование квасцов цезия CsAl(SO4)2・12H2O.


Литий и его сульфат
Ромбические иглы — в такую форму кристалла переходит Li2SO4 из нагретых растворов без H2O. При нормальных условиях переходит в кристаллы как гидрат Li2SO4・H2O, кристаллизуется тонкими моноклинными табличками. (Подробнее насчёт системы Li2SO4—H2O в материале: Campbell A. N., J. Am. Chem. Soc., 65, 2268, 1943.) В отсутствии воды сульфат лития расплавляется при 859º, показатель удельного веса 2,21.",1,,synthetic_fact_mutation
"Он ждал, что отель окажется устарелым, но этот явно переборщил.","Он знал, что гостиница свое отжила, но подобного все-таки не ожидал.",0,,
"В Дагестане расстрелян ректор Института теологии Максуд Садиков, вместе с ним убит его племянник. Согласно основной версии, ректора убили из-за его профессиональной, религиозной и общественной деятельности: Садиков резко выступал против ваххабизма.","В Дагестабыл застрелен директор Института теологии МакСуд Садих, и его племянник был убит. Согласно главной истории, ректор был убит из-за его профессиональной, религиозной и общественной деятельности: Садиков был в руках острого противника Ваххабизма.",1,,synthetic_fact_mutation
"Банкир похитил 300 млн рублей, выдав себя за писателя.",Банкир под видом писателя похитил 150 миллионов рублей.,1,,synthetic_fact_mutation
"Был В. Катаев (молодой писатель). Цинизм нынешних молодых людей прямо невероятен. Вышел с Катаевым, чтобы пройтись, и вдруг на минуту всем существом почувствовал очарование весны, чего в нынешнем году (в первый раз в жизни) не чувствовал совсем.","Был В. Катаев (молодой писатель). Цинизм современных молодых людей просто невероятен. Я вышел с Катаевым, чтобы пройтись, и вдруг на минуту всем существу почувствовал очарование весны, чего в этом году (впервые в жизни) не чувствовал вовсе.",0,,
"Россияне 20 лет жили, как в наркотическом сне. Величие, стабильность, Путин - вождь нации, но вот пришел апрель 2020 года и вся картина выстроенная пропагандой рухнула, и народ окунулся в реальность, где нет денег, нет работы, нет будущего, а трусливый фюрер спрятался в бункер.","Россияне 20 лет жили, как в наркоматологическом сне. Величие, стабильность, Путин - вождь нации, но вот наступил апрель 2020 года и вся картина пропаганды рухнула, и народ окунулся в реальность, где нет денег, нет работы, нет будущего, а трусный фюрер спрятался в бункере.",0,,
"Соседка актрисы Анастасии Заворотнюк рассказала о том, что при встрече со звездой не сразу ее узнала. Жительница элитного подмосковного поселка отметила, что артистка очень пополнела и что-то странное случилось с ее волосами.","Соседка Анастасии Заворотнюк рассказала, что при встрече с актрисой сразу ее узнала. Жительница элитного подмосковного поселка рассказала, что звезда сильно пополнела и у нее странные волосы.",1,,synthetic_fact_mutation
"Джокер не обладает никакими очевидно «сверхчеловеческими» способностями. Однако у злодея некое особенное видение мира и реальности. К тому же Джокеру неоднократно удавалось избежать смерти. Очень часто люди предполагали, что он погиб, но он возвращался вновь и вновь. В комиксах Джокера взрывали, в него стреляли, били током, он падал с высоты, но каждый раз являлся снова.","Джокер обладает никакими явными сверхчеловеческими способностями. Тем не менее у злодея есть особенное видение мира и реальности. К тому же игроку не раз удавалось избежать смерти. Очень часто люди предполагали, что он погиб, но он возвращался снова и снова. В комиксах Джокера взорвали, стреляли, убивали, он упал с высоты, но каждый раз вновь появился.",1,,synthetic_fact_mutation
"«Известия» сообщают, что Российский «Университет 20.35» разработал систему для поиска идеальной работы — и по удовлетворённости, и по уровню оплаты. Платформа анализирует данные рынка труда и личные характеристики соискателей.
Сервис учтет склонности тестируемого, его ценности, паттерны поведения и мышления. И «универсальные компетенции» — о них рассказал один из создателей системы, Андрей Комиссаров. «Приведу пример. Самый востребованный «мягкий» навык в бюрократической сфере — дружить. Умеете дружить — всё будет подписываться в момент. Кто-то учится этому годами, а кто-то с этим рождается. Мы это учитываем», — пояснил специалист.
За час платформа протестирует вас, затем подберёт идеальные вакансии. Новинка скоро станет коммерческим проектом — как только закончится стадия тестирования.","Наилучшее место работы подыщет любому система, разработанная Российским «Университетом 20.35». О новинке пишут «Известия». Денежные и увлекательные варианты трудоустройства подберёт алгоритм — анализ рынка труда и личных характеристик человека не даст платформе ошибиться. Учтут и склонности претендента, и ценности, и нормы морали и этики, и «универсальные компетенции». О них сказал один из создателей новинки Андрей Комиссаров. «Из «мягких» навыков в бюрократической сфере важнее всего умение дружить. Не умеете — и ваш документооборот парализован. У кого-то навык дружить есть от рождения, а кто-то долго учится. Мы такое учитываем», — сообщил он.
Часовой тест — и платформа подберёт идеальные вакансии. После того, как сама система пройдёт через тестовую фазу, разработчики сделают её коммерческим проектом.",0,,
"Её назвали в честь исполнительницы техано Селены Кинтанильи-Перес. Селена называет себя «гордой девушкой американо-мексиканского происхождения в третьем поколении» и говорит, что семья отмечает кинсеаньеру и ходит в церковь. Девушка также немного владеет испанским. У неё есть две единоутробные сестры: Грейси Эллиот Тиффи (от второго брака её матери с Брайаном Тиффи) и Виктория «Тори» Гомес (от второго брака её отца с Сарой Гомес).","Ее назвали в честь исполнителя Тетана Кинтанильи-Переса. Селена называет себя ""определенной американо-мексиканской девушкой"" и говорит, что семья празднует кинсеаньеру и ходит в церковь. У девочки есть ещё маленький испанский. У нее две полуродившиеся сестры: Грейси Эллиот Тиффи (от второго брака ее матери с Брайаном Тиффи) и Виктория Тори Гомес (от второго брака ее отца с Сарой Гомез).",0,,
"В некоторых случаях он мог вычленить первый черновой набросок со следующими за ним через некоторые интервалы вариантами, изменением мелких деталей, оттачиванием сюжета, введением какой-нибудь новой гнусной ситуации, и все же каждый раз то была перелицовка версии одного и того же несуществующего рассказа.","Иногда он сразу же различал первый грубый набросок, и с ним варианты, вразрядку идущие один за другим, они менялись в мелких деталях, подчищая сюжет, добавляя новые частности, погнуснее, но всякий раз переиначивая очередной вариант все той же, иначе существующей повести.",1,,synthetic_fact_mutation
"Ровно 140 лет назад студент Игнатий Гренивицкий, сам того не ведая, изменил мировую историю: он убил Александра II за несколько часов до оглашения им Указа о переходе России на Конституционную монархию, т.е. на демократию. Он остановил развитие державы на более чем уже 140 лет.","Ровно 140 лет назад студент Игнатий Гренивицкий, сам того не зная, изменил мировую историю: он убил Александра II за множество часов до оглашения Указа о переходе России на конституционную монархию, то есть на демократию. Он остановил развитие государства более 140 лет.",1,,synthetic_fact_mutation
Нидерландского дипломата осудили на 12 лет за шпионаж в пользу России.,Нидерландского дипломата осудили на 12 месяцев за шпионаж в пользу России.,1,,synthetic_fact_mutation
"Просто ужас!!!! Качество отвратительное!!! пошита куртка наверное в подвале безрукими и слепыми швеями!!! Все швы кривые,заклепка отлетела в первый же день......, можно кучу перечислять недостатков этого товара. Я немало заказываю на Али,но это первый товар такого ужасного качества((((Если можно было бы, то поставифла бы ноль звёзд.Позор продавцу продавать такую продукцию. И ещё, в день распродаж, цену подняли на 30%.Не советаю покупать такое г.....за эти деньги.Не знаю, кому этот товар понравился, наверное тем кто просто не видел качественного пошива изделий....","Просто ужас! Качество отвратительное!!! Шита куртка наверно в подвале безручными и слепыми швейцарами!!! Все швы кривые, замок улетела в первый же день......, можно много перечислить недостатки этого товара. Я не очень много заказываю на Али, но это первый товар такого ужасного качества. Если бы было возможно, я бы поставила ему звезды. Позор продавцу продать такую продукцию. И в день продажи, цена поднялась на 30%. Я не советую покупать такие вещи за эти деньги. Я не знаю, кому этот товар понравился, наверное тем, кто просто не видел качественного продукта...",0,,
В вагоне мадридского метро нашли чек на 2 млн долларов.,В мадридском метро нашли чек на два миллиона евро.,1,,synthetic_fact_mutation
"В Минобороны России подтвердили гибель 14 августа, передает РИА Новости. Пассажиры пожарного самолета Бе-200 погибли во время ликвидации авиакатастрофы на юго-востоке Турции. По данным ""Росавиации"", на борту судна находилось пятеро российских военнослужащих и трое граждан Турции, которые помогали экипажу с обнаружением возгорания. Самолет принадлежал ВМС России, передает Известия. В четверг, 15 августа, в небе над территорией Турции разбилась аэроавиация. Известно, что самолет был принят в состав авиации ВМФ в начале 2020 года и летом того же года участвовал в главном военно-морском параде, который традиционно проводится в Санкт-Петербурге. Минобороны России уже направило свою комиссию к месту авиакатастрофы для выяснения причин произошедшего. Информация о крушении Бе-200 в Турции появилась 14 августа. Сообщается, что самолет был арендован турецкими властями у России для тушения пожаров. Самолет затонул около 15:10 по московскому времени в районе поселка Адана. Уточняется, что самолет заходил на посадку после тушения нескольких очагов природных пожаров.","В Минобороны России официально подтвердили, что все члены экипажа пожарного самолета Бе-200, который разбился на юго-востоке Турции 14 августа, погибли. Об этом сообщает РИА Новости.Отмечается, что на борту самолета находилось пятеро российских военнослужащих и трое граждан Турции, которые помогали экипажу с обнаружением возгораний.Самолет принадлежал авиации Военно-морского флота (ВМФ) Российской Федерации. Уточняется, что разбившийся борт был принят в состав авиации ВМФ в начале 2032 года и летом того же года участвовал в главном военно-морском параде, который традиционно проводится в Санкт-Петербурге.Минобороны России уже направило свою комиссию к месту авиакатастрофы для выяснения причин произошедшего.Информация о крушении Бе-200 на юго-востоке Турции появилась ранее 14 августа. Сообщалось, что самолет был арендован турецкими властями у России для тушения пожаров. Воздушное судно разбилось около 15:10 по московскому времени в районе населенного пункта Адана. Известно, что самолет заходил на посадку после тушения нескольких очагов природных пожаров.",1,,synthetic_fact_mutation
"Истинным создателем теории относительности был Эйнштейн, а не Пуанкаре, не Лоренц, не Лармор и не кто-либо другой. Иное дело — подход Эйнштейна к этой проблеме. Он взглянул на неё с принципиально новых позиций, с совершенно революционной точки зрения.","Настоящим создателем теории относительности был Эйнштейн, а Пуанкаре, не Лоренц, не Лармор и никто другой. Есть другой вопрос - подход Эйнштейна к этой проблеме. Он взглянул на нее с принципиально новой позиции, с совершенно революционной точки зрения.",1,,synthetic_fact_mutation
Убийца ректора петербургского вуза приговорен к 13 годам тюрьмы.,Убийце ректора вуза в Новосибирске дали 13 лет.,1,,synthetic_fact_mutation
"Наземный транспорт СПб очень отстаёт от Москвы, но есть два хороших отличия:

- здесь не убили , зато активно закупают электробусы с подзарядкой от проводов — они дешевле и эффективнее московских электробусов.

- СПб закупает гармошки, а Москва нет (старых очень не хватает)","Поземный транспорт СПб очень отстаёт от Москвы, но есть две отличия: - здесь убивают, но активно закупают электробусы с подзарядкой от проводов, они дешевле и эффективнее московских электробусов. - СПб покупает гармошки, а Москва нет (старых очень не хватает)",1,,synthetic_fact_mutation
"""Мечел"" договорился об отсрочке по кредиту на 1 млрд долл.",«Мечел» добился отсрочки по кредиту на миллиард долларов.,0,,
"В 1924 году в регламенте турнира появилось ещё одно важное новшество — посев участников при жеребьёвке. За два года до этого на чемпионате США был введён посев фаворитов по классу игры с тем, чтобы ведущие игроки не выводили друг друга из борьбы задолго до финальной стадии турнира.","В 1926 году в регламенте турнира появилась новая статья — посев участников. За два года до этого в США был введен посев фаворитов по классу игры с тем, чтобы ведущие игроки не выводили друг друга из борьбы задолго перед финальной стадией турнира.",1,,synthetic_fact_mutation
"Япония вовлечена в территориальные споры с несколькими соседними государствами. Согласно официальной японской позиции, южные Курильские острова, де-факто находящиеся в составе России, являются частью территории Японии. Данное противоречие между странами является препятствием для подписания мирного договора между Россией и Японией (де юре, данный мирный договор так и не был подписан со времён Второй мировой войны).","Япония занимается территориальными спорами с рядом соседних государств. Официальная позиция Японии заключается в том, что южные острова Куриллы, де-факто входящие в состав России, являются частью территории Японии. Этот конфликт между нациями представляет собой препятствие на пути к подписанию мирного договора между Россией и Японией (де-юре, этот мирный договор никогда подписывался после Второй мировой войны).",1,,synthetic_fact_mutation
"Преимущества: один из наиболее значимых производителей металлопродукции и текстиля. Фландрия является ведущим регионом в индустрии хай-тека, Антверпен — мировой центр торговли алмазами. Высокоразвитая химическая промышленность. Хорошо образованная и высокомотивированная многоязычная рабочая сила с высокой производительностью труда. Хорошая водная транспортная сеть через Северное море, доступ к Рейну от Антверпена до Гента.","Выгоды: один из важнейших производителей металлообрабатывающей продукции и текстильной продукции. Фландрии являются одним из ведущих регионов в индустрии &quot; Хэй-Тек &quot;, а Антверпен - мировым центром торговли алмазами. Высокоразвитая химическая промышленность. хорошо образованная и высоко мотивированный многоязыковая рабочая сила с высокой производительностью. - наличие эффективной сети водных перевозок через Северное море;",0,,
"С мальчиками в Вильянди (см. путеводитель).    
День рождения Паши – в ресторане, потом – в номере гостиницы.","Мальчики в Вилланди (см. гид). День рождения Паши в ресторане, потом в гостиничном номере.",0,,
"Поезд «Новосибирск-Владивосток» сошёл с рельс

Четыре вагона отстали от основного состава.
Скорость поезда была максимальной для РЖД 20 километров в час, поэтому он не перевернулся и никто не пострадал.","Поезд Новосибирск-Владивосток сошёл с железной дороги Четыре вагона отстали от основного состава. Скорость поезда была максимальной для РЖД 20 километров в час, поэтому он не преобратился и никто не пострадал.",0,,
"Ксения Собчак заявила, что безусловное возвращение Крыма в состав Украины невозможно. Собчак подчеркнула, что она не рассматривала вопрос с Крымом. Ксения также добавила: «…самое главное, что Россия и Украина должны делать теперь, — это восстанавливать дружбу любой ценой». Одновременно она предложила провести новый референдум о статусе Крыма после «широкой и равноправной кампании».","Ксения Собчак заявила, что безусловное возвращение Крыма в состав Украины невозможно. Собчак подчеркнула, что не рассматривала вопрос с Крымом. Ксения также добавила: ""...согласное, что должны сделать Россия и Украина теперь, это восстановить дружбу любой ценой. В то же время она предложила провести новый референдум о статусе Крыма после широкой и равноправной кампании.",0,,
"В дальнейшем, с развитием маржиналистских теорий, сама проблема предпринимательства исчезла из неоклассического микроэкономического анализа. Если в условиях равновесия совокупный продукт полностью сводится к выплатам факторам производства, не имеют большого значения количество и наименование самих этих факторов, и без ущерба для исследования можно абстрагироваться от такого возмущающего равновесие явления, как предпринимательство.","Затем в результате разработки маргиналистов проблема предпринимательства как таковая исчезла из неоклассического микроэкономического анализа. Если в условиях равновесия совокупный продукт полностью ограничивается выплатой факторов производства, количество и название этих факторов не являются значительными и, без ущерба для исследования, можно вывести из отвратительного явления равновесия, связанного с предпринимательством.",0,,
Президент Зимбабве отметил 89-летие за 600 тыс. долл.,Президент Зимбабве потратил 600 тысяч долларов на 89-летие.,0,,
жаль только ты не под ксанаксом,жаль только ты не под ксанаксом,0,,
"Иностранный текст студенты должны прорабатывать сами, к этому их стоит приучать с самого начала, лишь сказав, как именно работать с ним. Затем опрос покажет, что в тексте прошло мимо их внимания; педагог может дополнить это и предложить аудитории выделить главную тему прочитанного, разбить текст на кусочки и озаглавить каждый.
В упражнениях «Retenez l’orthographe» на традиционную орфорграфию коварные участки слов выделены жирным; диктовка или написание транскрипции позволят проверить освоение материала.","С самого начала студентов следует приучать к самостоятельной работе с иноязычным текстом, сказав им только, как с ним работать. После при опросе можно дополнить то, что они в тексте увидели, и дать им задачу найти основную мысль текста или разбить его на смысловые отрывки и озаглавить каждый.
В упражнениях «Retenez l’orthographe» жирным выделена наиболее трудная часть слова, заостряя внимание на традиционной орфографии; её освоение можно проверить диктантом или транскрибированием.",1,,synthetic_fact_mutation
"Вот уже два года, как я жил в пансионе фрау Залевски.",В пансиофрау Залевски я пребывал уже целых два года.,1,,synthetic_fact_mutation
Власти Казахстана планируют перенести перепись населения на 2020 год.,Перепись населения в Казахстане планируют перенести на 2020 год.,0,,
"Команда на протяжении всего сезона не могла похвастаться хорошей игрой. Неудачно выступили новички команды: Мирзоев, Егорович, Пискарёв. Финальный матч выдался тяжёлым для «Спартака».","Команда не могла гордиться хорошей игрой на протяжении всего сезона. Они провалились: Мирдзев, Егорович, Пискарев. Последний матч был трудным на Спартаке.",0,,
"Дополнительным морфологическим признаком некоторых хромосом является так называемая вторичная перетяжка, которая внешне отличается от первичной отсутствием заметного угла между сегментами хромосомы. Вторичные перетяжки бывают различной длины и могут располагаться в различных точках по длине хромосомы.","Признак морфологического дополнительного воздействия на некоторые хромосомы представляет собой так называемую побочную передачу, которая чужда главным образом отсутствию видимого угла между хромосомами. На разных участках по всей длине хромосомы могут находиться вторичные проходы различной длины.",0,,
"ООН, 3 сен - РИА Новости. Никто из членов российской делегации пока не получил визы США для участия в сессии Генассамблеи в сентябре, говорится в письме постпреда РФ при ООН Василия Небензи генсеку организации Антониу Гутеррешу. Неделя высокого уровня ГА ООН пройдет с 20 по 26 сентября и предполагает очное участие всех делегаций. Российскую делегацию возглавляет министр иностранных дел РФ Сергей Лавров. ""По состоянию на 1 сентября ни один из 56 представителей основной команды и передовой группы не получил въездных виз в США. Аналогичная ситуация с сопровождающими журналистами и членами экипажа рейса нашего министра"", - сказано в письме, с которым удалось ознакомиться РИА Новости. По словам Небензи, это вызывает тревогу, учитывая, что в последние несколько месяцев власти США постоянно отказывали в выдаче въездных виз ряду делегатов России, которые планировали принять участие в официальных мероприятиях ООН. В числе недавних примеров он отметил отмененный визит министра внутренних дели РФ Владимира Колокольцева, который должен был участвовать в саммите глав МВД ООН. Небензя напомнил, что, согласно соглашению о штаб-квартире, ""визы должны выдаваться бесплатно и настолько оперативно, насколько это возможно"", никаких препятствий чиниться не должно. ""В связи с этим мы подчеркиваем необходимость обеспечения строгого соответствия действий США с их международными юридическим обязательствами принимающей страны"", - отметил постпред в письме.","США сорвали участие министра внутренних дел России Владимира Колокольцева в саммите глав МВД в ООН: делегации не выдали визы, заявил постоянный представитель России при организации Василий Небензя. ""Из-за действий американской стороны участие в саммите российской делегации из МВД во главе с министром внутренних дел Владимиром Колокольцевым было сорвано. Это очередное вопиющее нарушение США своих обязательств по соглашению о центральных учреждениях ООН"", — подчеркнул он. Дипломат обратил внимание, что предоставление виз делегатам — не привилегия, а международно-правовая обязанность Соединенных Штатов. Накануне заместитель главы МИД России Сергей Рябков сообщил, что сдвигов в ситуации с выдачей виз министру Сергею Лаврову и всей российской делегации для визита на Генассамблею ООН в сентябре пока нет, несмотря на заблаговременную подачу заявок. Ранее президент Владимир Путин подписал распоряжение о том, что Лавров возглавит делегацию страны на ГА ООН. По соглашению между ООН и США как страной — хозяйкой штаб-квартиры, американские власти не должны препятствовать посещению ООН представителями и должностными лицам стран — членов организации. Ранее Вашингтон не раз отказывал в выдаче документов российским дипломатам и экспертам, которые планировали принять участие в работе ооновских конференций.",0,,
